vessel_id,vessel_type,month,speed_knots,course_change_deg,distance_to_route_nm,draught_m,wind_speed_knots,visibility_nm,traffic_density,signal_gap_minutes,anomaly
V00028,passenger,8,19.21,4.07,4.01,5.28,3.29,5.26,0.4982,11.25,0
V00029,passenger,9,10.43,5.69,4.35,7.48,17.94,9.6,0.5659,0.37,0
V00030,passenger,7,10.08,8.95,12.63,9.56,5.55,11.02,0.9341,2.04,0
V00031,tanker,8,9.44,1.41,5.0,7.23,5.24,7.37,0.4505,0.2,0
V00032,container,2,12.42,15.19,29.07,5.44,4.82,7.34,0.3491,8.41,0
V00033,cargo,6,13.21,10.82,12.72,9.99,2.39,10.87,0.2347,1.81,0
V00034,container,7,14.14,2.19,4.37,6.75,4.18,6.54,0.2504,0.82,0
V00035,cargo,10,8.97,4.13,4.67,10.54,7.09,11.38,0.408,2.52,0
V00036,container,1,8.5,2.11,30.43,9.3,7.79,10.93,0.6143,0.82,0
V00037,passenger,7,16.35,0.72,6.63,7.67,10.13,8.94,0.2868,0.02,0
V00038,cargo,5,11.47,10.67,16.9,6.07,11.99,12.08,0.6877,1.05,0
V00039,cargo,11,13.94,3.04,8.87,6.02,14.96,6.96,0.3385,3.13,0
V00040,tanker,6,9.79,2.97,4.81,6.41,5.59,6.29,0.6539,1.57,0
V00041,cargo,7,13.19,4.31,4.41,11.24,4.55,8.12,0.8912,0.67,0
V00042,container,6,7.49,18.36,7.39,8.56,5.84,9.68,0.6902,4.25,1
V00043,cargo,4,15.03,10.14,6.2,9.67,2.39,15.0,0.1896,0.39,0
V00044,tanker,8,13.89,0.03,10.25,5.55,4.03,6.92,0.2504,10.32,0
V00045,container,3,4.71,0.33,23.92,4.14,0.74,5.04,0.669,0.9,0
V00046,cargo,5,10.42,9.67,6.36,8.12,4.29,8.88,0.429,1.76,0
V00047,cargo,1,13.77,0.75,5.29,6.8,3.95,9.94,0.7458,3.97,0
V00048,cargo,6,11.97,11.75,4.43,7.27,4.84,5.2,0.1718,2.1,0
V00049,container,3,5.52,6.59,9.17,7.67,6.98,9.29,0.5195,0.66,0
V00050,passenger,3,14.74,20.65,11.62,7.87,5.75,9.23,0.5482,1.53,0
V00051,cargo,12,9.46,3.08,7.48,8.99,18.5,4.3,0.9494,0.35,0
V00052,passenger,1,14.1,1.97,12.23,8.22,7.58,11.86,0.6709,1.13,0
V00053,tanker,10,13.4,0.09,18.75,7.95,7.97,9.59,0.1437,0.57,0
V00054,container,9,15.81,10.21,1.62,5.76,2.69,13.62,0.5961,1.2,1
V00055,container,12,9.67,6.37,4.55,7.02,10.81,7.11,0.2655,6.48,0
V00056,cargo,6,14.87,7.06,12.89,7.61,7.45,6.31,0.535,0.97,0
V00057,cargo,4,10.34,2.66,4.08,7.71,6.87,7.27,0.5672,2.91,0
V00058,container,12,14.28,1.39,6.2,7.38,10.57,9.31,0.6747,11.33,0
V00059,passenger,6,11.78,12.84,8.91,8.55,5.86,10.39,0.3159,6.33,0
V00060,cargo,2,10.5,1.03,9.32,5.17,11.06,1.92,0.7805,1.81,0
V00061,container,2,15.04,6.31,7.04,10.55,9.79,4.97,0.7461,2.98,1
V00062,passenger,3,9.86,5.11,7.63,5.82,24.31,11.3,0.3196,1.22,0
V00063,cargo,11,8.53,6.51,4.39,7.53,4.05,8.03,0.2939,4.62,0
V00064,cargo,12,11.14,1.48,4.97,4.76,1.99,8.41,0.1073,7.19,0
V00065,cargo,3,13.69,4.35,4.85,3.53,4.7,7.44,0.498,0.64,0
V00066,container,8,14.92,1.5,2.12,4.79,9.49,8.99,0.3886,8.1,0
V00067,cargo,10,15.93,3.98,8.25,6.61,6.15,13.34,0.4116,1.96,0
V00068,tanker,9,12.55,8.84,12.76,9.05,3.79,12.81,0.4357,2.2,0
V00069,container,5,14.29,13.76,9.57,8.47,3.98,6.83,0.4519,2.98,0
V00070,container,3,13.3,13.38,17.44,6.2,4.58,8.99,0.4241,0.24,1
V00071,tanker,7,11.98,4.31,12.06,8.65,3.49,5.43,0.5988,0.09,0
V00072,passenger,12,10.04,0.25,18.07,11.37,30.17,9.03,0.645,2.81,0
V00073,passenger,4,16.22,7.13,16.69,4.59,4.32,9.62,0.2276,2.53,0
V00074,cargo,9,9.97,3.43,13.2,7.34,12.25,9.87,0.5117,1.93,0
V00075,passenger,6,6.86,5.56,14.48,4.74,12.14,10.4,0.3228,0.05,0
V00076,passenger,12,15.03,0.26,2.94,8.54,11.89,10.36,0.4502,1.64,0
V00077,cargo,6,12.44,1.49,29.94,7.46,3.39,12.53,0.5278,0.79,1
V00078,cargo,7,16.27,5.39,4.02,8.02,4.76,11.95,0.0286,5.07,0
V00079,container,12,8.81,1.46,5.64,6.1,5.06,6.41,0.3177,4.99,0
V00080,tanker,4,11.21,11.62,31.06,6.72,0.43,9.72,0.7407,10.36,0
V00081,container,8,7.55,3.93,8.98,5.78,7.48,6.47,0.7009,10.99,0
V00082,container,3,10.68,15.82,12.31,3.48,2.56,11.33,0.9157,1.5,0
V00083,container,12,12.03,3.25,9.47,11.07,9.8,6.71,0.1611,1.1,0
V00084,container,9,6.83,1.61,27.17,5.71,19.12,9.6,0.9605,2.56,0
V00085,container,11,8.18,2.55,28.54,8.3,15.26,7.77,0.5056,1.4,0
V00086,cargo,9,11.45,6.64,10.55,6.6,9.03,9.12,0.4144,1.96,0
V00087,passenger,7,11.6,1.18,9.42,7.39,8.92,6.94,0.4485,1.35,0
V00088,container,12,6.37,2.32,4.45,7.6,7.33,11.3,0.3051,3.49,0
V00089,cargo,12,11.41,8.8,6.43,6.68,4.21,2.84,0.5778,3.93,0
V00090,passenger,9,7.29,8.52,4.54,5.05,5.51,11.17,0.1498,0.65,0
V00091,container,10,8.98,0.17,10.76,6.04,7.74,10.26,0.4512,6.68,0
V00092,tanker,6,14.21,3.07,2.21,6.34,8.22,5.77,0.7428,1.32,0
V00093,container,3,14.21,5.58,16.26,10.0,9.27,3.93,0.61,2.2,0
V00094,container,11,12.79,7.47,20.07,4.55,6.78,10.61,0.8516,9.74,0
V00095,cargo,3,9.56,2.86,3.98,4.4,13.19,7.05,0.2458,0.77,0
V00096,cargo,11,11.63,9.46,20.78,3.57,6.27,6.46,0.5453,0.04,0
V00097,passenger,9,10.01,6.84,40.97,7.03,1.44,6.63,0.3247,0.07,0
V00098,passenger,8,10.74,1.81,15.79,4.53,11.42,8.6,0.5291,1.66,0
V00099,cargo,9,12.37,13.18,8.88,7.7,8.02,11.99,0.337,2.96,0
V00100,cargo,5,16.33,1.15,3.51,7.06,6.43,7.76,0.3647,4.26,0
V00101,container,11,10.74,7.13,21.01,8.56,2.34,8.71,0.7872,2.25,0
V00102,tanker,7,14.44,2.32,7.99,8.99,7.97,12.79,0.2945,17.77,0
V00103,tanker,8,11.44,15.35,40.33,5.67,9.39,12.87,0.3966,8.45,0
V00104,container,8,17.23,10.39,3.96,8.47,9.9,3.02,0.6095,1.48,0
V00105,cargo,8,12.09,13.58,6.31,5.4,7.07,11.94,0.2043,3.5,0
V00106,cargo,9,6.85,10.35,6.16,6.05,7.34,12.27,0.0838,1.99,0
V00107,container,5,14.55,4.51,9.83,9.56,13.98,9.18,0.6252,14.5,0
V00108,container,2,10.57,7.73,15.6,3.63,10.97,15.0,0.5944,2.02,0
V00109,container,6,14.31,11.76,14.07,6.78,7.17,6.66,0.1762,5.22,0
V00110,tanker,8,13.73,7.86,5.77,6.64,8.2,7.26,0.9187,7.36,1
V00111,container,10,10.02,4.08,21.64,9.52,8.92,2.6,0.2835,3.33,0
V00112,cargo,7,12.75,3.98,5.94,6.15,18.05,8.2,0.5507,1.29,0
V00113,container,2,14.81,2.43,6.97,7.21,5.59,4.95,0.2467,1.49,0
V00114,passenger,6,11.54,11.0,7.69,10.77,16.04,8.38,0.4943,0.84,0
V00115,tanker,4,10.43,5.9,15.8,4.9,4.0,6.22,0.8659,7.47,0
V00116,cargo,1,17.23,5.81,14.53,11.35,16.49,9.87,0.0788,3.42,0
V00117,container,2,13.27,5.5,5.35,6.86,21.2,7.53,0.6105,0.68,0
V00118,passenger,4,8.57,6.66,7.27,2.91,7.63,8.33,0.6535,2.94,0
V00119,cargo,2,6.04,10.8,8.28,12.84,2.91,4.67,0.6575,2.85,0
V00120,passenger,9,12.45,6.9,18.56,8.19,8.95,5.55,0.6468,0.29,0
V00121,container,1,13.9,4.95,4.94,7.89,0.56,15.0,0.1593,2.81,0
V00122,container,9,9.32,8.54,6.25,8.48,5.22,9.38,0.1471,0.48,0
V00123,cargo,6,12.14,4.06,9.68,11.18,9.48,8.27,0.7156,0.15,0
V00124,container,3,12.74,9.16,9.13,8.68,9.0,11.13,0.8166,11.37,0
V00125,container,1,7.37,8.86,9.06,10.42,12.81,7.47,0.8707,8.14,0
V00126,cargo,6,11.8,13.27,6.28,7.1,9.35,8.36,0.6919,2.43,0
V00127,container,3,10.59,3.06,4.76,6.47,11.8,7.87,0.6462,0.29,0
V00128,cargo,2,9.0,5.84,12.14,5.19,4.18,13.63,0.6085,3.02,0
V00129,container,6,10.71,12.18,11.31,6.22,2.27,7.89,0.2216,1.01,0
V00130,tanker,12,14.47,2.88,5.05,8.0,32.96,10.48,0.2143,0.93,0
V00131,tanker,9,11.83,2.0,9.33,7.4,10.47,3.38,0.1922,4.07,0
V00132,tanker,10,18.1,11.72,3.35,6.79,10.09,9.08,0.3285,0.76,1
V00133,cargo,12,14.9,6.97,7.87,7.4,5.49,7.04,0.4899,8.44,0
V00134,tanker,12,8.77,7.55,3.82,7.72,7.59,11.75,0.4217,0.05,0
V00135,cargo,8,7.81,2.75,21.47,9.5,8.02,14.57,0.9668,2.44,0
V00136,cargo,11,10.1,1.1,7.43,8.11,9.13,9.02,0.748,11.21,0
V00137,cargo,8,5.57,0.56,1.9,6.54,8.08,11.16,0.7313,0.94,0
V00138,cargo,2,9.84,13.22,5.42,2.76,8.15,9.67,0.1619,1.57,0
V00139,tanker,3,9.86,3.95,39.78,9.06,9.18,9.75,0.7558,13.16,0
V00140,container,1,14.94,2.36,4.2,8.59,4.32,4.44,0.4963,1.32,0
V00141,container,3,11.94,1.93,9.67,5.01,1.46,6.91,0.5039,0.01,0
V00142,tanker,7,11.07,2.87,9.74,6.15,5.01,6.2,0.6269,3.69,0
V00143,cargo,3,14.3,11.73,17.24,7.1,8.44,14.33,0.7644,0.11,0
V00144,cargo,4,15.31,12.69,62.56,11.15,2.75,6.93,0.6134,11.13,1
V00145,passenger,10,13.04,9.73,6.74,5.24,6.67,9.68,0.3291,5.98,0
V00146,cargo,9,11.53,0.33,7.15,6.67,4.83,3.88,0.432,0.16,0
V00147,cargo,9,5.11,0.91,29.27,7.26,3.54,5.53,0.4679,5.12,0
V00148,tanker,4,11.34,1.34,2.51,6.4,13.45,9.48,0.6016,2.11,0
V00149,passenger,7,9.12,12.95,4.67,8.39,8.46,8.98,0.8319,17.93,0
V00150,container,8,10.06,6.8,12.78,1.2,8.77,8.7,0.5837,8.21,0
V00151,container,8,13.18,10.01,11.38,8.65,5.12,7.69,0.6028,2.37,0
V00152,cargo,2,8.55,4.95,8.3,5.88,14.92,9.35,0.413,0.21,0
V00153,container,9,6.29,2.52,8.17,3.98,12.83,9.8,0.6099,3.78,1
V00154,tanker,9,11.09,1.1,4.14,2.69,0.78,9.69,0.4721,0.73,0
V00155,cargo,1,10.59,12.84,13.72,9.3,3.27,9.54,0.6493,17.33,0
V00156,container,1,5.03,7.06,8.17,8.74,8.3,8.79,0.711,1.78,1
V00157,container,12,8.62,10.13,9.33,8.29,14.18,8.62,0.8763,5.81,0
V00158,tanker,5,11.15,9.34,17.18,9.32,15.21,5.81,0.351,3.0,0
V00159,passenger,1,13.99,3.91,11.78,8.35,5.97,8.44,0.4613,0.47,0
V00160,cargo,6,13.12,7.17,3.05,7.89,13.42,8.8,0.8027,2.2,0
V00161,cargo,2,12.22,1.44,8.37,6.31,6.96,2.98,0.3764,5.46,1
V00162,tanker,6,7.18,1.9,19.43,8.48,6.67,14.84,0.858,3.88,0
V00163,cargo,2,5.27,9.03,9.54,7.3,3.35,10.93,0.5707,3.22,0
V00164,cargo,7,12.66,6.42,8.98,5.75,1.47,6.29,0.3176,0.19,0
V00165,container,4,10.83,6.58,17.86,8.39,3.23,10.55,0.9346,9.84,0
V00166,cargo,4,14.18,5.02,21.26,7.06,6.05,1.42,0.6711,14.47,0
V00167,cargo,12,12.46,2.11,15.72,3.93,3.44,7.63,0.5117,3.39,0
V00168,passenger,1,5.15,6.02,30.52,7.62,17.12,7.22,0.9106,12.09,0
V00169,container,4,10.21,12.83,7.03,4.77,14.5,5.35,0.5493,5.64,0
V00170,cargo,11,12.01,5.1,5.54,10.24,3.79,7.08,0.5622,13.92,0
V00171,container,11,8.55,1.11,21.62,9.65,5.37,8.44,0.2803,0.8,0
V00172,cargo,12,14.3,7.05,25.45,9.41,1.21,12.78,0.1788,6.24,0
V00173,tanker,4,10.84,13.6,14.04,6.06,9.38,10.68,0.822,0.66,0
V00174,tanker,11,6.44,0.07,3.81,6.61,6.11,4.41,0.9469,0.71,0
V00175,cargo,12,10.86,2.07,10.42,7.2,8.11,7.42,0.3682,2.84,0
V00176,cargo,6,13.68,8.02,9.46,9.55,5.56,5.7,0.6543,2.47,0
V00177,tanker,7,13.78,2.9,91.62,5.19,5.02,7.22,0.7267,2.12,1
V00178,container,1,14.95,0.3,16.18,7.67,0.94,6.36,0.1204,4.66,0
V00179,cargo,9,9.36,2.61,8.75,8.35,3.26,4.96,0.7192,0.28,0
V00180,tanker,1,16.74,5.85,10.0,7.01,6.12,5.78,0.1685,0.85,0
V00181,tanker,2,9.46,4.96,8.25,8.21,9.44,5.74,0.1703,20.1,0
V00182,cargo,2,13.29,1.69,25.61,9.31,28.68,5.87,0.6307,7.66,0
V00183,container,12,9.97,4.14,5.06,5.55,6.89,7.47,0.4432,5.43,0
V00184,cargo,10,10.06,2.47,11.27,10.05,0.44,3.67,0.7801,11.26,0
V00185,container,8,10.94,15.6,19.44,7.41,13.56,7.36,0.3606,1.46,0
V00186,cargo,9,8.31,8.7,20.06,6.28,9.26,6.37,0.4437,1.35,0
V00187,cargo,12,12.78,4.99,10.06,8.36,1.59,5.06,0.3684,2.41,0
V00188,cargo,5,9.28,4.56,2.31,6.62,16.08,12.29,0.221,3.03,0
V00189,tanker,8,9.41,1.49,6.95,5.89,10.1,9.0,0.8182,0.19,0
V00190,passenger,1,19.22,7.81,9.88,8.83,13.03,9.39,0.4862,5.28,0
V00191,cargo,7,10.62,0.79,7.59,6.97,4.61,9.6,0.6601,0.83,0
V00192,cargo,7,11.33,7.78,19.75,9.82,2.67,14.9,0.308,5.69,0
V00193,container,4,5.6,6.82,14.04,3.76,17.71,11.06,0.7514,4.29,0
V00194,container,9,7.15,1.37,12.45,4.92,22.17,7.91,0.1917,0.12,0
V00195,cargo,4,12.5,5.96,22.68,7.61,7.02,9.15,0.3176,1.49,0
V00196,container,1,14.33,5.11,13.12,11.54,11.89,11.3,0.7469,5.31,1
V00197,cargo,6,14.28,7.82,26.44,12.88,3.0,7.62,0.9182,1.84,0
V00198,container,8,5.26,7.39,17.17,6.64,18.54,7.45,0.1231,6.87,0
V00199,container,4,8.41,4.21,10.81,10.36,11.36,10.54,0.7022,5.18,0
V00200,cargo,12,13.98,2.14,13.74,5.47,4.97,6.45,0.6424,5.51,1
V00201,tanker,9,13.02,2.67,8.27,6.91,4.61,10.17,0.365,0.33,0
V00202,cargo,2,14.7,4.55,10.82,8.6,5.39,7.31,0.4859,2.13,0
V00203,cargo,11,19.31,10.21,13.3,6.37,7.19,10.0,0.2667,4.19,0
V00204,tanker,9,11.81,6.9,6.18,7.31,8.6,3.91,0.6661,0.56,0
V00205,cargo,2,8.64,8.72,2.96,6.03,4.06,11.19,0.8798,3.07,0
V00206,cargo,11,12.15,5.46,19.58,10.24,22.63,6.15,0.0433,5.72,1
V00207,container,7,13.54,3.35,11.51,4.7,11.08,8.86,0.6463,0.12,0
V00208,tanker,5,14.3,5.17,10.24,11.4,4.63,8.59,0.5062,0.12,0
V00209,passenger,10,10.47,1.77,4.32,6.7,9.86,8.85,0.7515,4.53,0
V00210,container,4,9.08,2.17,11.48,9.66,4.58,6.55,0.3281,0.2,0
V00211,container,10,9.32,0.21,10.12,12.27,12.46,5.84,0.7252,3.79,0
V00212,passenger,7,10.09,4.52,13.7,3.67,22.89,14.2,0.825,4.52,0
V00213,tanker,3,11.65,3.67,1.4,11.53,2.46,4.65,0.9407,10.37,0
V00214,tanker,10,11.43,5.21,6.54,4.0,16.95,8.54,0.2768,16.2,0
V00215,container,6,12.44,3.15,16.59,4.72,7.76,7.1,0.6716,3.04,1
V00216,container,11,9.89,1.57,16.97,4.64,4.59,9.9,0.2078,0.83,0
V00217,cargo,12,8.98,13.34,9.29,9.07,14.04,9.87,0.3459,4.61,0
V00218,cargo,3,12.25,5.31,13.54,6.5,9.07,10.78,0.8005,1.95,0
V00219,container,6,11.17,0.24,7.97,4.6,24.52,3.84,0.7549,0.02,0
V00220,passenger,8,13.18,2.18,7.72,9.82,8.82,6.67,0.6042,0.18,0
V00221,container,11,12.22,3.67,20.32,6.6,7.32,14.82,0.2657,0.37,0
V00222,container,12,8.8,9.89,6.97,7.89,0.36,5.1,0.2781,0.05,0
V00223,passenger,8,10.69,0.34,5.41,6.43,3.97,6.89,0.6325,1.49,0
V00224,container,6,5.41,2.16,5.82,8.66,12.65,6.79,0.713,1.62,0
V00225,cargo,4,15.65,2.41,7.81,6.77,14.9,6.11,0.474,1.14,0
V00226,tanker,10,9.0,3.87,3.95,10.38,6.8,8.98,0.4787,11.68,0
V00227,passenger,3,6.58,5.33,4.06,6.85,3.18,6.6,0.4263,2.33,0
V00228,cargo,8,11.59,1.69,25.31,6.03,5.15,13.09,0.6557,2.37,0
V00229,cargo,11,19.09,16.2,16.29,9.25,6.65,12.5,0.59,4.06,0
V00230,container,2,9.82,15.59,3.81,5.2,7.84,12.04,0.3857,1.65,0
V00231,container,1,12.43,10.86,16.43,7.59,16.56,12.98,0.3747,4.3,0
V00232,container,12,15.71,5.82,7.33,8.0,2.91,6.47,0.5044,7.39,0
V00233,tanker,2,7.79,8.48,20.65,7.48,9.13,6.92,0.4929,3.25,0
V00234,container,12,14.37,4.03,12.66,6.65,3.57,8.35,0.5125,2.38,0
V00235,container,11,16.29,0.3,23.02,8.68,2.26,6.29,0.4907,1.48,1
V00236,container,5,11.24,1.04,1.43,5.99,4.43,11.43,0.4986,2.84,0
V00237,cargo,5,14.14,5.59,19.96,5.76,5.6,5.76,0.3734,4.24,0
V00238,container,2,10.34,3.1,15.3,9.42,3.4,7.74,0.7537,8.82,0
V00239,passenger,11,12.21,6.61,24.35,7.59,4.44,9.48,0.2579,6.5,0
V00240,cargo,5,9.27,1.02,10.55,9.94,10.13,8.24,0.5509,5.55,0
V00241,cargo,2,5.02,1.92,8.31,7.35,32.48,11.11,0.1448,8.23,0
V00242,tanker,10,12.49,2.0,13.13,8.23,13.12,4.18,0.3464,2.37,0
V00243,cargo,1,12.01,10.14,3.69,4.27,9.73,6.44,0.7886,6.67,0
V00244,container,12,18.55,14.73,9.8,12.09,7.03,4.0,0.1913,9.81,1
V00245,container,10,9.48,9.1,1.09,6.89,6.39,9.33,0.3238,11.9,0
V00246,tanker,11,13.43,13.5,5.72,5.62,16.71,8.74,0.4387,3.53,0
V00247,tanker,6,15.11,6.07,27.76,7.86,5.02,6.02,0.4095,2.33,0
V00248,cargo,6,9.57,11.98,5.43,6.36,5.7,2.56,0.7262,3.26,0
V00249,passenger,6,12.86,8.38,8.01,7.58,1.15,11.37,0.4659,2.67,0
V00250,tanker,4,8.46,9.01,30.58,5.09,7.16,8.66,0.2997,2.11,0
V00251,cargo,2,10.42,7.63,12.21,8.25,6.34,7.68,0.4202,3.96,0
V00252,cargo,4,5.01,7.62,10.62,8.54,4.13,7.34,0.2488,0.99,0
V00253,tanker,4,10.83,5.36,1.98,10.87,3.5,4.79,0.4166,18.72,0
V00254,container,8,11.36,9.72,19.45,10.82,3.25,14.66,0.4543,3.41,0
V00255,tanker,11,13.68,6.83,15.5,6.87,9.59,12.53,0.6223,1.07,1
V00256,cargo,4,11.79,10.15,6.08,5.96,15.55,12.38,0.7453,0.88,0
V00257,cargo,1,11.56,6.42,16.92,8.94,0.23,11.67,0.6274,6.94,0
V00258,container,5,10.62,2.23,2.87,8.21,9.6,8.41,0.7059,11.04,0
V00259,cargo,3,10.66,6.7,33.35,6.46,16.62,3.47,0.368,4.12,0
V00260,cargo,4,10.67,8.51,33.5,5.05,7.32,11.32,0.7874,2.6,0
V00261,container,9,7.96,13.02,14.85,6.3,16.59,13.32,0.9228,2.92,0
V00262,cargo,11,7.88,4.14,18.5,6.71,0.24,2.1,0.6502,1.6,0
V00263,cargo,10,11.93,1.88,25.53,4.08,13.67,10.68,0.7365,0.91,0
V00264,passenger,12,17.59,0.0,1.76,9.45,5.7,6.13,0.8393,9.93,0
V00265,passenger,11,7.09,6.19,3.41,6.13,3.64,8.32,0.6161,4.61,0
V00266,cargo,5,7.3,6.22,2.24,7.13,2.0,5.2,0.449,4.19,0
V00267,container,7,11.6,2.37,21.69,9.32,5.91,7.98,0.4523,0.07,0
V00268,cargo,3,11.09,3.91,4.23,8.92,10.18,13.53,0.1969,0.89,0
V00269,passenger,8,7.97,0.74,12.18,6.45,5.56,4.07,0.3713,5.36,0
V00270,tanker,6,12.89,6.99,12.95,8.59,12.99,5.33,0.7106,0.65,1
V00271,container,11,8.43,2.25,9.42,5.22,5.74,2.33,0.7039,5.04,0
V00272,tanker,12,11.66,0.33,6.25,5.05,7.93,5.25,0.4396,22.27,0
V00273,passenger,1,8.88,10.12,11.36,5.15,19.62,8.04,0.4219,0.95,0
V00274,tanker,9,14.14,6.16,4.65,4.75,11.11,11.27,0.2637,3.96,0
V00275,container,12,8.95,10.09,16.38,5.83,10.77,9.97,0.5955,0.42,0
V00276,container,6,8.02,2.25,8.5,6.54,12.23,5.5,0.4479,2.32,0
V00277,container,7,6.76,9.34,8.18,9.19,9.45,5.0,0.7326,0.89,0
V00278,passenger,10,13.04,2.93,10.74,6.37,0.68,5.81,0.9438,4.31,0
V00279,tanker,7,11.08,2.54,12.79,6.38,12.09,8.03,0.5975,0.05,0
V00280,passenger,8,12.93,2.57,9.95,7.15,13.12,6.45,0.8814,7.97,0
V00281,container,11,11.94,0.57,4.8,6.02,14.59,4.15,0.3205,4.4,0
V00282,container,1,13.52,6.78,10.5,9.71,10.7,9.73,0.4358,1.34,0
V00283,container,6,13.44,3.67,5.87,7.82,5.49,8.76,0.5317,3.13,0
V00284,container,10,13.08,1.12,4.95,8.95,9.78,10.52,0.7446,6.02,0
V00285,tanker,7,11.81,8.65,6.21,6.29,9.3,7.54,0.327,3.45,0
V00286,tanker,2,10.29,8.95,8.98,10.71,12.22,15.0,0.4529,4.65,0
V00287,passenger,6,10.27,5.81,19.82,7.23,6.07,11.13,0.7442,13.54,0
V00288,container,4,12.29,6.55,5.01,4.59,19.86,7.49,0.5929,1.67,0
V00289,container,1,8.69,6.55,7.18,6.16,3.62,11.88,0.3757,2.67,0
V00290,container,10,11.21,1.35,3.59,4.8,4.43,11.48,0.4267,2.89,0
V00291,cargo,9,8.5,6.37,4.17,4.34,5.84,4.38,0.2564,1.48,0
V00292,tanker,9,11.74,3.19,11.39,3.46,1.58,9.11,0.6322,0.01,0
V00293,container,9,13.67,1.32,8.7,6.32,8.15,12.67,0.4277,2.35,0
V00294,container,12,11.35,1.91,15.38,2.22,9.59,11.51,0.6518,7.07,0
V00295,cargo,3,13.09,4.62,12.98,8.43,2.4,13.3,0.7928,0.43,0
V00296,tanker,11,11.45,1.02,14.3,3.21,5.93,6.09,0.4898,7.14,0
V00297,passenger,3,8.41,2.7,3.53,6.95,2.73,4.26,0.4668,3.11,0
V00298,container,11,13.95,11.06,16.14,9.38,8.13,2.75,0.4705,1.94,0
V00299,passenger,1,7.66,3.38,7.19,4.34,3.35,6.99,0.3728,1.39,0
V00300,tanker,9,9.74,8.23,25.29,10.7,11.55,7.75,0.8876,14.04,0
V00301,cargo,8,10.11,6.18,11.82,5.97,5.81,9.42,0.4489,7.17,0
V00302,cargo,12,14.4,0.88,2.88,5.49,9.71,6.31,0.536,0.68,0
V00303,passenger,4,14.01,1.81,4.6,5.13,9.49,14.55,0.6185,12.6,0
V00304,container,3,13.42,1.74,11.84,7.57,8.3,12.56,0.2293,0.83,0
V00305,tanker,4,10.73,7.75,4.05,9.29,5.15,6.77,0.1279,5.43,0
V00306,passenger,11,7.91,0.69,8.89,7.8,3.14,7.99,0.5459,1.38,0
V00307,tanker,8,8.68,13.95,3.0,11.61,2.74,8.52,0.7768,2.0,0
V00308,passenger,2,11.59,4.11,8.59,5.11,5.7,8.1,0.6508,0.59,0
V00309,passenger,7,10.41,6.43,10.74,4.88,6.05,8.79,0.6677,2.25,0
V00310,cargo,7,11.09,8.83,8.06,8.9,22.94,10.35,0.093,4.47,0
V00311,container,5,6.54,4.81,1.73,9.76,5.38,8.64,0.3092,1.54,0
